Date,Date,Open,High,Low,Close,Volume,K,D,Signal
2013-12-01,2013-12-01,56.58,57.95,55.72,57.52,693356136.0,92.48801368512936,89.22018810509064,-1.0
2014-01-01,2014-01-01,57.52,61.68,56.65,60.96,883607442.0,95.02388365562324,92.40244327123587,-2.0
2014-02-01,2014-02-01,60.96,60.96,57.66,60.32,628697873.0,91.14838968288119,92.88676234121134,-1.0
2014-03-01,2014-03-01,60.17,62.47,59.17,61.97,648954610.0,91.00584929643837,92.39270754498101,-1.0
2014-04-01,2014-04-01,62.11,63.91,61.11,62.18,535476913.0,86.40624785044832,89.52016227658936,
2014-05-01,2014-05-01,62.18,67.43,62.18,66.35,538691251.0,87.92560839599166,88.44590184762619,
2014-06-01,2014-06-01,66.35,71.81,66.35,71.81,496858295.0,89.61937533366103,87.98374386003373,-1.0
2014-07-01,2014-07-01,72.16,81.14,71.81,74.32,853515201.0,86.3130388912299,87.95267420696092,
2014-08-01,2014-08-01,72.52,83.64,72.16,82.03,709747196.0,87.27054734350726,87.73432052279945,
2014-09-01,2014-09-01,84.04,84.45,77.35,78.33,562014684.0,78.11024199999581,83.89794274491105,
2014-10-01,2014-10-01,78.74,81.35,72.62,78.33,657623736.0,77.18696725148976,80.85591886499766,
2014-11-01,2014-11-01,79.15,80.78,77.51,79.15,521008488.0,65.59218317549919,73.62979747566165,
2014-12-01,2014-12-01,76.21,78.74,68.78,71.72,920640336.0,47.67314369875964,63.48409804191626,
2015-01-01,2015-01-01,71.72,72.94,67.72,70.74,642046020.0,31.627663484898267,48.29766345305243,
2015-02-01,2015-02-01,71.15,72.13,68.95,71.07,385998228.0,20.463835555071082,33.254880912909734,
2015-03-01,2015-03-01,71.56,77.43,70.33,74.74,1045370172.0,32.12715178930881,28.072883609759458,
